id,created_at,text,retweet_count,favorite_count
846813152130019329,Tue Mar 28 19:56:03 +0000 2017,Devin Nunes said he would continue to lead the Russia investigation despite accusations that he's too close to Trump https://t.co/WW6eYSumEX,122,149
846810163919097856,Tue Mar 28 19:44:10 +0000 2017,This man called out to his family after learning that his father was among those killed in a suicide car bombing… https://t.co/7QDI7TlZ5U,50,74
846809595452575744,Tue Mar 28 19:41:55 +0000 2017,Seeking to cover clearing operations around them Iraqi soldiers in Mosul are always searching for higher ground… https://t.co/I5ZV2QDnJ2,27,71
846809187925528576,Tue Mar 28 19:40:18 +0000 2017,After a mortar strike in one part of Mosul neighbors loaded the wounded into a truck to get to a first-aid station… https://t.co/3ephssCt7T,47,49
846806366018768897,Tue Mar 28 19:29:05 +0000 2017,Inside St. Clair an Alabama prison where just about everyone is thought to be armed https://t.co/JVkIdIFtj4,57,84
846803087176192000,Tue Mar 28 19:16:03 +0000 2017,Uber's work force is overwhelmingly male. That's not that different from other major tech companies. https://t.co/35Gr8zXBHs,60,86
846799819100340224,Tue Mar 28 19:03:04 +0000 2017,RT @ajchavar: In September we spoke to Obama on his climate legacy https://t.co/FvvQuYa5Nn Today Trump signed an order to undo it https://…,72,0
846796544699437056,Tue Mar 28 18:50:03 +0000 2017,How Americans think about climate change in 6 maps https://t.co/mvIpUM9eKA https://t.co/VAljvvq72C,262,296
846793354700623873,Tue Mar 28 18:37:23 +0000 2017,Trump celebrated the move as a way to promote energy independence and restore thousands of lost coal industry jobs https://t.co/c9m8v343jB,92,114
846792938348822528,Tue Mar 28 18:35:43 +0000 2017,Breaking News: President Trump flanked by coal miners signed an order to undo President Obama's climate legacy https://t.co/QwPyXJd8Fc,423,267
846789994488512512,Tue Mar 28 18:24:01 +0000 2017,"Opinion: The left-wing case for why ""Brexit"" is best for Britain https://t.co/MenjvMo0fz",42,117
846786726018338817,Tue Mar 28 18:11:02 +0000 2017,"""Legion"" is the latest in surreality TV an art form for the days of fake news and contested objectivity https://t.co/15SSxJFL7Z",100,224
846783476737150981,Tue Mar 28 17:58:07 +0000 2017,The FDA approved a drug to treat people with a serious form of eczema. It costs $37000 a year. https://t.co/BEVw51Xckj,119,127
846779692657061889,Tue Mar 28 17:43:05 +0000 2017,French authorities are investigating the police killing of a Chinese man in Paris https://t.co/kTRmDQIIGE,82,108
846776609927507968,Tue Mar 28 17:30:50 +0000 2017,This woman screamed out in horror after her son died in an ISIS mortar attack right on her doorstep.… https://t.co/kYENK1PVqe,289,305
846776242561044481,Tue Mar 28 17:29:23 +0000 2017,Around a half-million people are thought to be trapped in one part of Mosul. Most are in need of food and water.… https://t.co/GC6wkyjLZb,269,209
846775910523129856,Tue Mar 28 17:28:04 +0000 2017,A white artist's painting of Emmett Till has sparked protests at the Whitney. Here's our art critic's take. https://t.co/MLgaNP4dL1,58,115
846772894260744193,Tue Mar 28 17:16:04 +0000 2017,"RT @jasondhorowitz: ""Hey Rhona!"" Donald Trump shouted. Meet Trump's most loyal staffer his secretary/gatekeeper back at Trump Tower. https…",22,0
846769615950766080,Tue Mar 28 17:03:03 +0000 2017,"In a violent dorm of this prison inmates put up a sign: ""No Officers Beyond This Point.""  Officers tended to obey. https://t.co/AeA4Or7YRd",155,220
846766365457465345,Tue Mar 28 16:50:08 +0000 2017,RT @nytgraphics: President Trump's job approval reaches new record low: https://t.co/MVKya5Xl0T https://t.co/t9KmPywNGA,209,0
846766196573851648,Tue Mar 28 16:49:28 +0000 2017,Watch live now: Rachel Dolezal is answering readers' questions on our Facebook page https://t.co/589uvd066y,28,60
846763839681105921,Tue Mar 28 16:40:06 +0000 2017,He was shot while confronting a gunman who killed an Indian immigrant. Indians have rallied to help him in return. https://t.co/eNZc6MmPkk,716,1800
846760698155819011,Tue Mar 28 16:27:37 +0000 2017,Desperate families started out right at daybreak. This family waited for help on the side of the road in Mamun.… https://t.co/lCOroaI8Rk,152,142
846760390600146945,Tue Mar 28 16:26:23 +0000 2017,The sounds of battle were close: gunfire the dull thud of mortar rounds the roar of car bombs and airstrikes… https://t.co/p78E3vPJHI,95,107
846760061141745664,Tue Mar 28 16:25:05 +0000 2017,As NYT journalists traveled in western Mosul last week nearly everyone they met asked which way was safe to flee… https://t.co/VDZved1wZV,606,629
846757790819536896,Tue Mar 28 16:16:03 +0000 2017,House Republican leaders and the White House have restarted negotiations on legislation to repeal the ACA https://t.co/qCrO3mYyzW,306,225
846754655963111424,Tue Mar 28 16:03:36 +0000 2017,RT @cliffordlevy: Read for yourself: here are the facts about The Times’s reporting on President Trump and surveillance https://t.co/No1JsV…,202,0
846753530929139713,Tue Mar 28 15:59:08 +0000 2017,"""Legs-it!"": The front page of The Daily Mail drew criticism for being sexist https://t.co/Na59fKYX16 https://t.co/GCUW7NW49L",69,141
846750239105175552,Tue Mar 28 15:46:03 +0000 2017,Who is winning the race for jobs between robots and humans? 2 leading economists say it's the robots. https://t.co/YLnHm72ElX,222,250
846743705411301378,Tue Mar 28 15:20:05 +0000 2017,Top House Democrats ask Devin Nunes to recuse himself from Russia investigation https://t.co/z9wxpvASf9,226,597
846740431962558466,Tue Mar 28 15:07:05 +0000 2017,Caught between alienating their base and angering a broader group of voters Republicans risk losing House majority https://t.co/BO5AKxV4Pj,156,377
846736902036361216,Tue Mar 28 14:53:03 +0000 2017,President Trump is expected to sign an executive order reversing Obama climate rules https://t.co/uj6TipEq59,199,203
846733633989816323,Tue Mar 28 14:40:04 +0000 2017,"""Atlantis"" a new musical inspired by the hip-hop mogul Pharrell Williams’s childhood is heading to the big screen https://t.co/n4UX2Yqxjo",118,274
